"ID","Name","Color"
"550","Violet Very Dark","RGBColor[0.35294400138290927, 0.11120396118574609, 0.33479911595640266]"
"552","Violet  Medium","RGBColor[0.5312684275436174, 0.2368676384828915, 0.5140646800902704]"
"553","Violet","RGBColor[0.6623466976416537, 0.3872991677740277, 0.62546692523721]"
"554","Violet Light","RGBColor[0.8305961450356066, 0.6308355875679523, 0.7813964293488713]"
"561","Celadon Green Very Dark","RGBColor[0.16725932971783122, 0.40259539126976285, 0.28220102179903306]"
"562","Jade Medium","RGBColor[0.22225787121107177, 0.5630634463559603, 0.365431886620244]"
"563","Jade Light","RGBColor[0.4919672582044644, 0.7719827847208153, 0.5968665776886237]"
"564","Jade Very Light","RGBColor[0.6450817054196767, 0.8422965872555883, 0.6764590488325659]"
"580","Moss Green Dark","RGBColor[0.4062072896126139, 0.46877202762943015, 0.16030091482911718]"
"581","Moss Green","RGBColor[0.5797507124782026, 0.5956778495663264, 0.2009711332747531]"
"597","Turquoise","RGBColor[0.31515249154763214, 0.6424711320056877, 0.6840636768948521]"
"598","Turquoise Light","RGBColor[0.5621937263385194, 0.7817241624335145, 0.7851091474104591]"
"600","Cranberry Very Dark","RGBColor[0.7406199020515878, 0.14773786235239544, 0.3167798736613551]"
"601","Cranberry Dark","RGBColor[0.8005327928515751, 0.16981583686370422, 0.37239344751765313]"
"602","Cranberry Medium","RGBColor[0.8569312985498225, 0.2664093306476233, 0.43473859913666]"
"603","Cranberry","RGBColor[0.9195948567478802, 0.4404688187803634, 0.5745333077578534]"
"604","Cranberry Light","RGBColor[0.9567509205450835, 0.6036980186296697, 0.7027698036726177]"
"605","Cranberry Very Light","RGBColor[0.9671647769826321, 0.6960035002611376, 0.7661297589027145]"
"606","OrangeRed Bright","RGBColor[0.9352504557480817, 0.12295697263701238, 0.050001046532886104]"
"608","Burnt Orange Bright","RGBColor[0.9701972130661892, 0.33019246991802553, 0.15648161192277063]"
"610","Drab Brown Dark","RGBColor[0.46426732553079236, 0.3692272241041793, 0.24820652216816186]"
"611","Drab Brown","RGBColor[0.5362391334850223, 0.42892446854435695, 0.28702637543101317]"
"612","Drab Brown Light","RGBColor[0.7198171481653217, 0.6077544782330644, 0.4200730954475551]"
"613","Drab Brown Very Light","RGBColor[0.8218456297123069, 0.7427256811356754, 0.5967026876605984]"
"632","Desert Sand Ultra Very Dark","RGBColor[0.5299529726870345, 0.30845489719384867, 0.21828255688154713]"
"640","Beige Gray Very Dark","RGBColor[0.5305319250842763, 0.47981805675667544, 0.3719596597894328]"
"642","Beige Gray Dark","RGBColor[0.6471522845725832, 0.5936389599896519, 0.4574594435651697]"
